city,year,weekofyear,total_cases
sj,2010,19,28
sj,2010,20,26
sj,2010,21,29
sj,2010,22,32
sj,2010,23,36
sj,2010,24,35
sj,2010,25,36
sj,2010,26,35
sj,2010,27,37
sj,2010,28,39
sj,2010,29,39
sj,2010,30,35
sj,2010,31,35
sj,2010,32,42
sj,2010,33,41
sj,2010,34,39
sj,2010,35,40
sj,2010,36,42
sj,2010,37,42
sj,2010,38,43
sj,2010,39,42
sj,2010,40,41
sj,2010,41,39
sj,2010,42,36
sj,2010,43,37
sj,2010,44,38
sj,2010,45,34
sj,2010,46,34
sj,2010,47,29
sj,2010,48,28
sj,2010,49,19
sj,2010,50,15
sj,2010,51,18
sj,2011,52,16
sj,2011,1,15
sj,2011,2,12
sj,2011,3,10
sj,2011,4,13
sj,2011,5,13
sj,2011,6,13
sj,2011,7,12
sj,2011,8,13
sj,2011,9,14
sj,2011,10,8
sj,2011,11,10
sj,2011,12,8
sj,2011,13,7
sj,2011,14,9
sj,2011,15,12
sj,2011,16,11
sj,2011,17,15
sj,2011,18,16
sj,2011,19,20
sj,2011,20,18
sj,2011,21,18
sj,2011,22,20
sj,2011,23,24
sj,2011,24,21
sj,2011,25,25
sj,2011,26,29
sj,2011,27,31
sj,2011,28,32
sj,2011,29,34
sj,2011,30,34
sj,2011,31,37
sj,2011,32,33
sj,2011,33,36
sj,2011,34,34
sj,2011,35,33
sj,2011,36,36
sj,2011,37,38
sj,2011,38,37
sj,2011,39,33
sj,2011,40,33
sj,2011,41,39
sj,2011,42,38
sj,2011,43,37
sj,2011,44,32
sj,2011,45,32
sj,2011,46,35
sj,2011,47,32
sj,2011,48,30
sj,2011,49,25
sj,2011,50,22
sj,2011,51,26
sj,2012,52,20
sj,2012,1,19
sj,2012,2,18
sj,2012,3,18
sj,2012,4,14
sj,2012,5,14
sj,2012,6,11
sj,2012,7,13
sj,2012,8,8
sj,2012,9,11
sj,2012,10,10
sj,2012,11,11
sj,2012,12,14
sj,2012,13,10
sj,2012,14,11
sj,2012,15,16
sj,2012,16,14
sj,2012,17,15
sj,2012,18,18
sj,2012,19,20
sj,2012,20,23
sj,2012,21,24
sj,2012,22,26
sj,2012,23,27
sj,2012,24,34
sj,2012,25,35
sj,2012,26,40
sj,2012,27,41
sj,2012,28,40
sj,2012,29,42
sj,2012,30,43
sj,2012,31,43
sj,2012,32,40
sj,2012,33,41
sj,2012,34,42
sj,2012,35,39
sj,2012,36,38
sj,2012,37,41
sj,2012,38,41
sj,2012,39,44
sj,2012,40,42
sj,2012,41,43
sj,2012,42,42
sj,2012,43,43
sj,2012,44,42
sj,2012,45,42
sj,2012,46,42
sj,2012,47,42
sj,2012,48,38
sj,2012,49,36
sj,2012,50,37
sj,2012,51,32
sj,2013,1,27
sj,2013,2,26
sj,2013,3,24
sj,2013,4,17
sj,2013,5,16
sj,2013,6,16
sj,2013,7,11
sj,2013,8,13
sj,2013,9,13
sj,2013,10,16
sj,2013,11,12
sj,2013,12,13
sj,2013,13,11
sj,2013,14,15
sj,2013,15,17
sj,2013,16,20
sj,2013,17,20
iq,2010,26,9
iq,2010,27,8
iq,2010,28,7
iq,2010,29,6
iq,2010,30,-5
iq,2010,31,-7
iq,2010,32,-5
iq,2010,33,-7
iq,2010,34,-5
iq,2010,35,-6
iq,2010,36,2
iq,2010,37,2
iq,2010,38,0
iq,2010,39,1
iq,2010,40,6
iq,2010,41,6
iq,2010,42,5
iq,2010,43,8
iq,2010,44,8
iq,2010,45,8
iq,2010,46,6
iq,2010,47,6
iq,2010,48,11
iq,2010,49,9
iq,2010,50,9
iq,2010,51,10
iq,2011,52,8
iq,2011,1,8
iq,2011,2,9
iq,2011,3,6
iq,2011,4,7
iq,2011,5,4
iq,2011,6,4
iq,2011,7,3
iq,2011,8,4
iq,2011,9,5
iq,2011,10,3
iq,2011,11,2
iq,2011,12,6
iq,2011,13,6
iq,2011,14,1
iq,2011,15,5
iq,2011,16,5
iq,2011,17,4
iq,2011,18,4
iq,2011,19,3
iq,2011,20,1
iq,2011,21,0
iq,2011,22,5
iq,2011,23,0
iq,2011,24,-3
iq,2011,25,0
iq,2011,26,-2
iq,2011,27,0
iq,2011,28,-5
iq,2011,29,-8
iq,2011,30,-6
iq,2011,31,-9
iq,2011,32,-8
iq,2011,33,-6
iq,2011,34,-7
iq,2011,35,-8
iq,2011,36,-8
iq,2011,37,-2
iq,2011,38,-4
iq,2011,39,-4
iq,2011,40,-4
iq,2011,41,0
iq,2011,42,4
iq,2011,43,2
iq,2011,44,0
iq,2011,45,3
iq,2011,46,7
iq,2011,47,4
iq,2011,48,5
iq,2011,49,6
iq,2011,50,8
iq,2011,51,4
iq,2012,52,7
iq,2012,1,8
iq,2012,2,7
iq,2012,3,3
iq,2012,4,0
iq,2012,5,3
iq,2012,6,5
iq,2012,7,1
iq,2012,8,3
iq,2012,9,-1
iq,2012,10,-2
iq,2012,11,0
iq,2012,12,-2
iq,2012,13,-3
iq,2012,14,0
iq,2012,15,0
iq,2012,16,1
iq,2012,17,0
iq,2012,18,3
iq,2012,19,1
iq,2012,20,-3
iq,2012,21,2
iq,2012,22,-1
iq,2012,23,0
iq,2012,24,-4
iq,2012,25,-11
iq,2012,26,-6
iq,2012,27,-7
iq,2012,28,-7
iq,2012,29,-8
iq,2012,30,-13
iq,2012,31,-14
iq,2012,32,-13
iq,2012,33,-13
iq,2012,34,-18
iq,2012,35,-8
iq,2012,36,-9
iq,2012,37,-8
iq,2012,38,-7
iq,2012,39,-3
iq,2012,40,0
iq,2012,41,0
iq,2012,42,3
iq,2012,43,2
iq,2012,44,3
iq,2012,45,5
iq,2012,46,8
iq,2012,47,11
iq,2012,48,7
iq,2012,49,10
iq,2012,50,11
iq,2012,51,12
iq,2013,1,13
iq,2013,2,9
iq,2013,3,6
iq,2013,4,7
iq,2013,5,5
iq,2013,6,5
iq,2013,7,6
iq,2013,8,6
iq,2013,9,4
iq,2013,10,5
iq,2013,11,8
iq,2013,12,10
iq,2013,13,7
iq,2013,14,8
iq,2013,15,6
iq,2013,16,8
iq,2013,17,9
iq,2013,18,1
iq,2013,19,-2
iq,2013,20,5
iq,2013,21,3
iq,2013,22,2
iq,2013,23,0
iq,2013,24,-1
iq,2013,25,-3
iq,2013,26,-5
